url_length,uses_ip,num_dots,protocol,num_subdomains,domain_age_days,dns_valid,whois_info_exists,has_iframe,has_obfuscated_js,label
46,0,2,0,1,-1,1,0,0,0,1
87,0,3,0,0,-1,0,1,-1,-1,1
38,0,2,1,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
32,0,1,1,0,-1,1,0,0,0,0
58,0,2,0,1,-1,1,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
223,0,1,1,0,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,1,0,1
77,0,1,0,0,-1,1,0,0,0,1
39,0,2,0,1,-1,1,0,0,0,0
148,0,6,1,0,-1,1,0,0,0,1
44,0,3,1,1,-1,1,0,0,0,0
201,0,2,0,1,-1,1,0,-1,-1,1
81,0,4,1,1,-1,1,0,0,0,1
31,0,2,0,0,-1,1,0,0,0,1
35,0,2,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
64,0,1,0,0,-1,1,0,1,0,1
62,0,2,1,1,-1,1,0,0,0,0
33,0,1,0,0,-1,1,0,0,0,1
55,0,2,0,1,-1,1,0,0,0,1
68,0,2,1,1,-1,1,0,0,0,0
51,0,3,0,1,-1,1,0,0,1,0
73,0,2,1,0,-1,1,0,1,0,0
385,0,4,1,1,-1,1,1,0,0,1
25,0,2,1,1,-1,1,1,0,0,1
18,0,1,1,0,-1,1,0,-1,-1,0
65,0,2,0,1,-1,1,0,-1,-1,1
155,0,7,1,5,-1,0,0,0,0,1
52,0,2,1,1,-1,1,0,0,0,0
47,0,3,0,1,-1,1,0,0,0,0
65,0,2,1,1,-1,1,0,0,0,0
79,0,3,1,1,-1,1,0,0,0,1
36,0,2,1,1,-1,1,0,0,0,0
54,0,1,1,0,-1,1,0,1,0,0
51,0,2,1,1,-1,1,0,1,0,0
30,0,2,1,1,-1,1,1,0,1,1
32,0,1,1,0,-1,1,0,0,0,0
33,0,3,0,1,-1,0,1,-1,-1,1
79,0,2,0,1,-1,1,0,0,0,1
43,0,2,0,0,-1,1,0,0,0,1
34,0,1,0,0,-1,1,0,0,0,0
30,0,2,1,1,-1,1,0,-1,-1,1
26,0,2,1,1,-1,1,0,1,0,1
80,0,4,1,1,-1,1,0,-1,-1,1
81,0,3,0,1,-1,1,0,0,0,1
36,0,2,1,1,-1,1,0,1,1,1
55,0,2,0,1,-1,1,0,0,0,1
39,0,3,0,1,-1,1,0,0,1,0
44,0,3,1,1,-1,1,0,0,0,0
34,0,2,1,1,-1,1,0,-1,-1,1
44,0,3,1,1,-1,1,0,-1,-1,0
51,0,2,1,1,-1,1,0,-1,-1,0
32,0,2,1,0,-1,1,0,0,0,0
53,0,2,0,0,-1,1,0,0,0,0
34,0,2,1,1,-1,1,0,0,0,0
30,0,2,0,0,-1,1,0,0,0,0
33,0,2,0,1,-1,1,0,-1,-1,1
104,0,2,1,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
71,0,2,0,1,-1,1,0,1,0,1
38,0,2,1,1,-1,0,0,-1,-1,1
36,0,3,0,1,-1,1,0,-1,-1,0
118,0,4,0,3,-1,1,0,-1,-1,1
95,0,1,0,0,-1,1,0,0,0,0
90,0,3,1,1,-1,1,0,0,0,1
101,0,2,0,1,-1,0,0,-1,-1,1
30,0,2,1,1,-1,1,0,0,0,1
34,0,3,1,1,-1,1,0,0,0,1
82,0,2,1,1,-1,1,0,0,0,1
45,0,3,0,1,-1,1,0,-1,-1,0
92,0,2,1,1,-1,1,0,0,1,0
57,0,2,0,1,-1,1,0,-1,-1,1
124,0,5,1,4,-1,1,0,-1,-1,1
34,0,2,0,1,-1,1,0,1,0,1
20,0,1,1,0,-1,1,0,1,0,0
37,0,3,1,1,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
66,0,3,0,1,-1,1,0,0,0,1
62,0,2,0,1,-1,1,0,0,0,0
108,0,1,1,0,-1,1,0,0,0,0
29,0,2,1,0,-1,1,0,0,0,1
62,0,2,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
128,0,4,1,3,-1,1,0,-1,-1,1
199,0,1,1,0,-1,1,0,0,0,0
72,0,1,0,0,-1,0,0,-1,-1,1
36,0,1,0,0,-1,1,0,1,0,0
44,0,3,1,1,-1,1,0,0,0,0
40,0,2,1,1,-1,1,0,-1,-1,1
43,0,2,1,1,-1,1,0,1,1,1
70,0,2,0,1,-1,0,0,-1,-1,1
98,0,2,1,1,-1,1,0,0,0,1
30,0,2,0,1,-1,1,0,-1,-1,1
111,0,1,0,0,-1,1,0,0,0,0
58,0,2,1,1,-1,1,0,-1,-1,0
20,0,1,1,0,-1,1,0,1,0,0
56,0,2,1,0,-1,1,0,1,0,0
67,0,2,1,1,-1,1,0,0,0,0
127,0,4,0,3,-1,1,0,-1,-1,1
91,0,2,1,1,-1,1,0,0,0,0
30,0,2,0,0,-1,1,0,0,0,0
26,0,2,0,1,-1,1,1,0,0,1
37,0,2,1,1,-1,1,0,0,0,0
127,0,4,1,3,-1,1,0,-1,-1,1
60,0,2,0,1,-1,0,0,-1,-1,1
37,0,2,1,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
56,0,4,0,2,-1,1,1,0,0,1
60,0,3,0,1,-1,1,0,0,1,1
76,0,2,0,0,-1,1,0,0,0,1
186,0,2,0,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
32,0,1,1,0,-1,1,0,0,0,0
30,0,2,1,1,-1,1,0,0,0,1
68,0,6,0,2,-1,1,0,-1,-1,1
53,0,3,0,1,-1,1,0,-1,-1,0
20,0,1,1,0,-1,1,0,1,0,0
79,0,3,0,1,-1,1,0,0,0,1
64,0,5,1,3,-1,1,0,0,0,1
78,0,2,0,0,-1,1,0,0,1,0
100,0,2,0,1,-1,0,0,-1,-1,0
17,0,1,1,0,-1,1,0,0,0,1
88,0,1,1,0,-1,1,0,0,1,0
51,0,3,0,1,-1,1,0,0,0,1
38,0,2,1,0,-1,0,1,-1,-1,1
55,0,2,0,1,-1,1,0,1,0,1
35,0,2,0,1,-1,1,0,0,1,1
60,0,5,0,4,-1,0,0,-1,-1,1
64,0,2,0,0,-1,1,0,0,0,1
58,0,2,1,1,-1,1,1,0,0,1
68,0,3,0,1,-1,1,0,-1,-1,0
33,0,2,0,1,-1,1,0,0,1,1
30,0,2,1,1,-1,1,0,0,1,1
54,0,1,1,0,-1,1,0,1,0,0
34,0,2,0,0,-1,1,0,0,0,0
27,0,2,1,1,-1,1,0,0,0,1
181,0,5,0,1,-1,1,0,1,0,1
77,0,3,1,1,-1,1,0,1,1,1
47,0,3,1,1,-1,1,0,0,1,1
36,0,2,1,1,-1,1,0,0,0,0
73,0,2,0,1,-1,0,0,0,0,0
76,0,2,1,1,-1,1,0,0,0,0
31,0,1,1,0,-1,0,1,-1,-1,1
56,0,2,1,1,-1,1,0,0,0,0
35,0,2,1,1,-1,1,0,0,1,1
17,0,1,0,0,-1,1,0,0,0,0
73,0,3,0,1,-1,1,0,-1,-1,1
58,0,5,1,3,-1,1,0,0,0,1
236,0,2,0,0,-1,0,0,-1,-1,1
60,0,2,0,1,-1,1,0,1,0,1
36,0,2,0,1,-1,1,0,1,0,1
33,0,1,1,0,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
53,0,3,0,1,-1,1,0,-1,-1,0
38,0,2,1,1,-1,1,0,0,1,1
18,0,2,0,1,-1,1,0,-1,-1,1
46,0,3,1,1,-1,1,0,0,0,1
29,0,2,1,0,-1,1,0,0,0,1
43,0,1,0,0,-1,1,0,0,0,1
19,0,1,1,0,-1,1,0,-1,-1,1
63,0,3,0,2,-1,1,0,0,0,1
59,0,2,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
31,0,2,1,1,-1,1,0,0,0,1
50,0,1,0,0,-1,0,1,-1,-1,1
59,0,4,0,2,-1,1,0,0,0,1
17,0,1,0,0,-1,1,0,0,0,0
32,0,2,0,1,-1,1,0,0,0,1
77,0,2,1,1,-1,1,0,0,0,1
153,0,1,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
33,0,2,1,0,-1,1,0,-1,-1,0
25,0,2,1,1,-1,1,0,0,0,1
27,0,1,1,0,-1,1,0,1,0,1
35,0,2,0,0,-1,1,0,1,0,1
64,0,2,1,1,-1,1,0,0,0,0
30,0,2,0,0,-1,1,0,0,0,0
128,0,2,1,1,-1,0,0,0,0,0
74,0,2,0,1,-1,1,0,0,0,1
46,0,2,0,0,-1,1,0,0,0,1
61,0,4,0,1,-1,1,0,0,0,1
78,0,2,1,1,-1,1,0,0,0,0
47,0,1,0,0,-1,1,0,1,0,0
37,0,4,1,3,-1,0,1,-1,-1,1
23,0,2,1,1,-1,1,0,1,0,1
51,0,2,1,0,-1,1,0,1,0,0
64,0,2,1,1,-1,1,0,0,0,0
78,0,2,1,1,-1,1,0,0,0,0
26,0,1,0,0,-1,1,0,-1,-1,0
97,0,2,1,1,-1,1,0,-1,-1,0
95,0,2,1,1,-1,1,0,0,0,1
34,0,1,0,0,-1,1,0,0,0,0
103,0,3,1,1,-1,0,0,-1,-1,1
61,0,2,1,1,-1,1,0,0,0,1
48,0,3,0,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
61,0,2,0,1,-1,1,0,0,0,1
44,0,3,1,1,-1,1,0,0,0,0
43,0,3,1,1,-1,1,0,0,0,1
54,0,3,1,1,-1,1,0,0,0,1
34,0,2,1,1,-1,1,0,0,0,1
73,0,4,1,1,-1,1,0,0,1,1
32,0,1,1,0,-1,1,0,0,0,0
31,0,2,1,1,-1,1,0,1,0,0
202,0,2,0,0,-1,1,0,0,0,1
23,0,1,1,0,-1,1,0,0,0,0
75,0,2,0,0,-1,1,0,0,1,0
31,0,3,1,1,-1,1,0,0,0,1
26,0,1,0,0,-1,1,0,0,0,1
33,0,2,0,0,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
57,0,5,0,4,-1,0,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
41,0,2,0,1,-1,1,0,0,0,1
24,0,2,1,1,-1,1,0,1,0,1
27,0,2,1,1,-1,1,0,0,0,1
43,0,2,0,1,-1,1,0,1,0,1
20,0,1,1,0,-1,1,0,1,0,0
53,0,3,0,1,-1,1,0,-1,-1,0
27,0,1,1,0,-1,1,0,0,0,0
40,0,2,0,0,-1,1,0,0,0,0
32,0,1,0,0,-1,1,0,0,1,0
35,0,3,0,2,-1,1,1,0,0,1
127,0,4,1,3,-1,1,0,-1,-1,1
59,0,3,1,1,-1,1,0,1,0,1
36,0,3,1,2,-1,0,0,-1,-1,1
120,0,4,1,3,-1,1,0,-1,-1,1
26,0,2,0,0,-1,1,0,0,0,0
63,0,2,1,1,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
53,0,3,0,1,-1,1,0,-1,-1,0
30,0,2,0,1,-1,1,0,0,1,1
60,0,3,0,1,-1,1,0,0,0,1
56,0,5,1,3,-1,1,0,0,0,1
45,0,2,0,1,-1,1,0,-1,-1,1
65,0,3,1,1,-1,1,0,0,0,1
48,0,2,0,1,-1,1,0,-1,-1,1
47,0,2,1,1,-1,1,0,0,0,0
126,0,2,1,1,-1,1,0,0,0,1
43,0,3,1,1,-1,1,0,0,0,0
42,0,3,0,1,-1,1,0,0,0,1
21,0,1,0,0,-1,1,0,0,0,1
48,0,3,0,1,-1,0,0,-1,-1,1
41,0,1,0,0,-1,0,0,-1,-1,1
64,0,3,0,1,-1,1,0,0,0,1
53,0,1,1,0,-1,1,0,1,0,0
19,0,1,0,0,-1,1,0,1,0,0
33,0,2,0,0,-1,1,0,1,0,0
33,0,1,1,0,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
33,0,2,0,0,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
26,0,2,0,1,-1,1,0,0,0,1
45,0,3,0,1,-1,0,0,-1,-1,1
18,0,1,0,0,-1,1,0,0,1,1
64,0,2,1,1,-1,1,0,0,0,0
33,0,1,1,0,-1,0,1,-1,-1,1
63,0,1,0,0,-1,0,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
36,0,2,1,1,-1,1,0,0,1,1
53,1,4,0,0,-1,0,0,0,0,1
57,0,2,1,0,-1,0,0,-1,-1,1
44,0,2,0,1,-1,1,0,0,0,1
23,0,2,0,1,-1,1,0,0,0,1
71,0,2,1,1,-1,1,0,0,0,0
64,0,2,0,0,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
154,0,6,1,1,-1,1,0,0,0,1
51,0,2,1,1,-1,1,0,0,0,1
29,0,2,1,1,-1,1,0,0,0,1
60,0,2,1,1,-1,1,0,0,0,0
32,0,1,0,0,-1,1,0,0,0,1
27,0,2,1,1,-1,1,0,0,0,1
214,0,1,1,0,-1,1,0,-1,-1,0
39,0,2,0,1,-1,0,0,-1,-1,1
36,0,2,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,-1,-1,0
39,1,4,0,0,-1,0,0,-1,-1,1
51,0,3,1,1,-1,1,0,0,0,1
125,0,4,1,3,-1,1,0,-1,-1,1
37,0,1,0,0,-1,1,0,-1,-1,0
32,0,1,1,0,-1,1,0,0,0,0
31,0,2,0,1,-1,0,1,-1,-1,1
44,0,3,1,1,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
21,0,1,0,0,-1,0,1,-1,-1,1
18,0,1,0,0,-1,1,0,0,0,0
41,0,3,0,1,-1,1,0,0,0,0
31,0,2,0,0,-1,1,0,0,0,1
44,0,3,1,1,-1,1,1,0,0,1
47,0,3,0,1,-1,1,0,0,0,0
47,0,1,1,0,-1,1,0,1,0,0
64,0,2,1,1,-1,1,0,0,0,0
54,0,2,1,1,-1,1,0,-1,-1,0
64,0,2,1,1,-1,1,0,0,0,0
29,0,2,0,1,-1,1,0,-1,-1,1
59,0,4,0,0,-1,0,0,-1,-1,1
70,0,2,1,1,-1,1,0,0,0,0
48,0,2,1,1,-1,0,1,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
21,0,2,1,1,-1,1,0,1,1,1
30,0,1,1,0,-1,1,0,0,0,0
48,0,4,0,1,-1,1,0,0,0,1
98,0,3,1,1,-1,0,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
39,0,2,1,1,-1,1,0,0,0,0
53,0,1,1,0,-1,1,0,1,0,0
23,0,1,0,0,-1,1,0,-1,-1,0
92,0,5,0,3,-1,0,0,-1,-1,1
39,0,1,0,0,-1,1,0,1,0,0
54,0,2,1,1,-1,1,0,0,0,0
32,0,2,0,0,-1,0,0,-1,-1,0
58,0,2,1,1,-1,1,0,0,0,0
63,0,3,0,1,-1,1,0,1,0,1
37,0,2,1,0,-1,1,0,0,0,0
56,0,1,1,0,-1,1,0,1,0,0
36,0,2,1,1,-1,1,0,1,0,0
41,0,3,0,1,-1,1,0,-1,-1,1
27,0,2,0,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
33,0,2,0,1,-1,1,0,0,0,1
59,0,3,0,1,-1,1,0,0,0,1
85,0,4,0,2,-1,0,0,-1,-1,1
32,0,2,0,1,-1,1,0,-1,-1,1
66,0,1,1,0,-1,1,0,0,0,0
31,0,2,1,1,-1,1,0,-1,-1,1
52,0,3,0,1,-1,1,0,0,1,0
23,0,1,0,0,-1,1,0,-1,-1,0
216,0,1,1,0,-1,1,0,0,0,0
43,0,3,1,1,-1,1,0,0,0,0
81,0,2,0,0,-1,1,0,-1,-1,1
47,0,3,0,1,-1,1,0,0,0,0
34,0,2,0,1,-1,1,0,0,0,0
27,0,2,0,1,-1,1,0,0,0,0
110,0,2,1,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
105,0,5,1,1,-1,1,1,0,0,1
46,0,2,1,1,-1,1,0,-1,-1,1
28,0,1,1,0,-1,1,0,0,0,0
37,0,4,0,3,-1,0,0,-1,-1,1
23,0,1,0,0,-1,1,0,-1,-1,0
31,0,3,0,1,-1,1,0,0,0,1
32,0,1,1,0,-1,1,0,0,0,0
87,0,4,1,2,-1,1,0,0,0,1
32,0,2,0,1,-1,1,0,-1,-1,1
38,0,2,1,1,-1,1,0,0,0,0
268,0,7,1,1,-1,1,0,0,0,1
36,0,3,1,1,-1,1,0,0,0,0
26,0,2,1,1,-1,1,0,0,0,1
43,0,4,1,3,-1,1,0,-1,-1,1
64,0,2,1,0,-1,1,0,1,0,0
60,0,2,1,1,-1,1,0,0,0,0
20,0,1,1,0,-1,1,0,1,0,0
62,0,3,0,1,-1,1,0,0,0,1
48,0,1,0,0,-1,1,0,1,0,0
238,0,2,1,0,-1,0,0,-1,-1,1
20,0,1,1,0,-1,1,0,1,0,0
42,0,2,1,1,-1,1,0,-1,-1,1
38,0,2,0,0,-1,0,0,-1,-1,1
64,0,2,0,1,-1,1,0,0,0,1
32,0,2,0,1,-1,1,0,-1,-1,1
59,0,3,0,1,-1,1,0,0,1,0
59,0,3,0,1,-1,1,0,1,0,1
35,0,3,0,1,-1,1,0,0,0,0
140,0,2,1,1,-1,1,0,0,0,1
109,0,2,0,1,-1,0,0,0,0,0
40,0,1,0,0,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
99,0,2,1,1,-1,1,0,0,0,1
19,0,2,0,1,-1,1,0,0,0,1
74,0,1,0,0,-1,1,0,-1,-1,1
52,0,3,0,1,-1,1,0,0,1,0
57,0,3,0,1,-1,0,0,-1,-1,1
27,0,2,1,1,-1,1,0,0,0,1
18,0,1,0,0,-1,1,1,0,0,1
35,0,2,1,1,-1,1,0,0,0,1
44,0,3,1,1,-1,1,0,0,0,0
34,0,2,0,0,-1,1,0,0,0,0
17,0,1,0,0,-1,1,0,0,0,1
45,0,1,0,0,-1,1,0,0,0,1
79,0,4,1,2,-1,0,0,-1,-1,1
28,0,1,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
42,0,2,1,1,-1,1,0,-1,-1,1
87,0,2,1,1,-1,1,0,0,0,0
77,0,1,0,0,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
47,0,3,0,1,-1,1,0,0,0,1
51,0,2,1,1,-1,1,0,-1,-1,1
36,0,3,0,1,-1,1,0,0,1,0
56,0,2,1,0,-1,1,0,1,0,0
92,0,2,1,1,-1,0,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
92,0,2,1,1,-1,0,0,0,0,0
110,0,3,1,1,-1,1,0,-1,-1,1
23,0,2,1,1,-1,1,0,0,0,1
57,0,2,1,1,-1,1,0,0,0,0
24,0,1,0,0,-1,1,0,0,0,0
38,0,1,1,0,-1,1,0,0,0,1
39,0,3,0,2,-1,0,0,-1,-1,1
51,0,4,1,3,-1,1,0,-1,-1,1
36,0,2,1,1,-1,1,0,0,0,0
101,0,2,1,1,-1,1,0,-1,-1,0
37,0,2,1,1,-1,1,0,0,0,0
46,0,3,0,1,-1,1,0,0,0,1
49,0,2,1,1,-1,1,0,0,0,1
36,0,3,0,1,-1,1,0,0,0,0
64,0,1,0,0,-1,1,1,-1,-1,1
20,0,2,1,1,-1,1,1,1,0,1
32,0,1,1,0,-1,1,0,0,0,0
51,0,3,1,1,-1,1,0,1,0,1
43,0,3,1,1,-1,1,0,0,0,0
99,0,2,1,0,-1,0,0,-1,-1,1
110,0,2,1,1,-1,0,0,0,0,0
52,0,4,1,3,-1,1,0,-1,-1,1
27,0,2,0,0,-1,1,0,-1,-1,0
92,0,3,0,1,-1,0,0,-1,-1,1
52,0,5,0,2,-1,0,0,-1,-1,1
21,0,1,0,0,-1,1,0,0,0,0
21,0,2,0,1,-1,1,1,0,0,1
28,0,1,1,0,-1,1,0,-1,-1,1
33,0,2,0,0,-1,1,0,-1,-1,0
47,0,1,1,0,-1,1,0,1,0,0
17,0,1,0,0,-1,1,0,1,0,1
59,0,2,1,1,-1,1,0,0,0,0
66,0,2,0,1,-1,1,0,-1,-1,1
64,0,2,1,1,-1,1,0,0,0,0
39,0,4,0,1,-1,1,0,0,0,1
127,0,4,1,3,-1,1,0,-1,-1,1
27,0,2,0,0,-1,1,0,-1,-1,0
51,0,2,1,1,-1,1,0,0,1,0
54,0,1,1,0,-1,1,0,0,0,0
83,0,2,1,1,-1,1,0,0,0,0
21,0,3,0,1,-1,1,0,1,0,1
40,0,2,0,1,-1,0,0,-1,-1,1
20,0,2,1,1,-1,1,1,0,0,1
42,0,2,0,0,-1,1,0,0,0,1
57,0,2,1,1,-1,1,0,0,0,0
38,0,2,1,1,-1,1,0,0,0,0
17,0,1,0,0,-1,1,0,0,0,0
40,0,3,0,1,-1,0,0,-1,-1,1
28,0,2,1,1,-1,1,0,1,1,1
59,0,2,0,1,-1,1,0,-1,-1,1
27,0,2,0,0,-1,1,0,0,0,0
32,0,2,1,1,-1,1,0,0,0,0
56,0,2,1,1,-1,1,0,1,0,0
50,0,3,1,1,-1,1,0,0,0,0
85,0,4,0,1,-1,1,0,1,0,1
106,0,2,0,1,-1,0,0,-1,-1,1
71,0,3,1,0,-1,1,0,0,0,1
54,0,1,1,0,-1,1,0,1,0,0
20,0,1,1,0,-1,1,0,1,0,0
91,0,3,0,1,-1,1,0,0,0,1
20,0,1,0,0,-1,0,0,-1,-1,1
128,0,4,1,3,-1,1,0,-1,-1,1
82,0,3,0,1,-1,1,0,0,0,1
41,0,2,0,1,-1,1,0,-1,-1,1
44,0,3,0,1,-1,1,0,0,0,0
53,0,3,0,1,-1,1,0,0,1,0
52,0,2,1,1,-1,1,0,-1,-1,0
47,0,3,0,1,-1,1,0,0,0,0
33,0,1,1,0,-1,1,0,0,0,1
42,0,2,0,1,-1,1,0,1,0,1
82,0,1,0,0,-1,1,0,1,0,1
45,0,3,0,1,-1,1,0,0,0,1
94,0,2,1,0,-1,1,0,0,0,1
23,0,3,1,1,-1,1,1,0,0,1
62,0,3,0,1,-1,1,0,0,1,1
83,0,3,0,1,-1,1,0,0,0,1
48,0,2,1,1,-1,1,0,-1,-1,0
36,0,3,0,1,-1,1,0,0,0,0
45,0,2,0,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
17,0,1,0,0,-1,0,1,-1,-1,1
49,0,2,1,1,-1,1,0,0,0,1
70,0,2,1,1,-1,1,0,0,0,1
64,0,2,0,1,-1,1,0,0,0,1
183,0,2,1,1,-1,0,0,-1,-1,1
48,0,2,1,1,-1,0,0,-1,-1,1
82,0,2,1,1,-1,1,0,0,0,0
23,0,2,0,0,-1,1,0,-1,-1,1
78,0,2,1,1,-1,1,0,0,0,0
33,0,1,1,0,-1,1,0,0,0,0
21,0,2,1,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
75,0,2,1,1,-1,1,0,-1,-1,0
32,0,2,1,0,-1,1,0,-1,-1,0
53,0,4,0,3,-1,1,0,-1,-1,1
51,0,3,1,1,-1,1,0,0,0,0
68,0,2,1,0,-1,1,0,-1,-1,0
91,0,2,0,1,-1,1,0,0,0,1
48,0,1,1,0,-1,1,0,0,0,1
71,0,1,0,0,-1,1,0,0,1,1
49,0,2,0,1,-1,1,0,0,0,1
24,0,1,0,0,-1,1,0,0,0,1
19,0,1,1,0,-1,1,0,0,0,0
109,0,2,1,1,-1,1,0,0,0,0
34,0,2,1,1,-1,1,1,-1,-1,1
71,0,2,0,1,-1,0,0,-1,-1,1
36,0,1,1,0,-1,1,0,0,0,0
18,0,1,1,0,-1,1,0,1,1,1
35,0,2,0,1,-1,1,0,0,0,0
142,0,2,1,1,-1,1,0,0,0,1
33,0,1,1,0,-1,1,0,0,0,0
85,0,2,0,1,-1,1,0,0,1,1
32,0,1,1,0,-1,1,0,0,0,0
476,1,24,0,0,-1,0,0,0,0,1
53,0,1,1,0,-1,1,0,1,0,0
40,0,2,1,1,-1,1,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
35,0,2,1,1,-1,1,0,0,0,0
17,0,1,0,0,-1,1,0,1,0,0
80,0,2,0,1,-1,0,0,-1,-1,1
116,0,4,0,3,-1,1,0,-1,-1,1
125,0,2,0,1,-1,1,0,-1,-1,1
29,0,2,1,1,-1,0,0,-1,-1,1
34,0,3,1,1,-1,1,0,0,0,0
63,0,3,0,1,-1,1,0,0,0,1
38,0,2,1,1,-1,1,0,-1,-1,0
59,0,2,1,1,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
67,0,2,0,1,-1,1,0,1,0,1
64,0,2,1,1,-1,1,0,0,0,0
32,0,1,1,0,-1,0,1,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
32,0,2,0,1,-1,1,0,-1,-1,1
53,0,3,0,1,-1,1,0,0,1,0
49,0,2,0,0,-1,1,0,0,0,1
26,0,2,1,1,-1,1,0,0,0,1
41,0,1,1,0,-1,1,0,0,0,0
342,0,4,1,1,-1,1,0,0,0,1
66,0,2,1,1,-1,1,0,0,0,1
56,0,2,1,1,-1,1,0,0,0,0
18,0,1,0,0,-1,1,0,0,0,0
48,0,3,0,1,-1,1,0,-1,-1,1
25,0,1,1,0,-1,1,0,1,0,1
32,0,1,1,0,-1,1,0,0,0,0
34,0,2,1,0,-1,1,0,-1,-1,0
98,0,2,1,1,-1,1,0,-1,-1,0
53,0,2,1,1,-1,1,0,1,0,1
81,0,3,0,1,-1,1,0,0,0,1
44,0,3,0,1,-1,1,0,0,0,1
32,0,2,0,1,-1,1,0,0,0,1
69,0,2,1,1,-1,1,0,0,0,0
33,0,2,1,1,-1,1,0,1,0,1
32,0,1,1,0,-1,1,0,0,0,0
29,0,3,1,1,-1,1,1,0,0,1
29,0,2,0,1,-1,1,0,1,0,1
55,0,3,0,1,-1,1,0,0,1,0
31,0,2,0,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
51,0,2,0,1,-1,1,0,0,0,1
28,0,2,0,0,-1,1,0,0,0,0
29,0,1,0,0,-1,0,0,-1,-1,1
115,0,6,0,3,-1,1,1,-1,-1,1
268,0,3,0,1,-1,0,0,-1,-1,1
34,0,1,1,0,-1,1,0,-1,-1,1
33,0,1,0,0,-1,1,0,0,0,0
198,0,6,0,0,-1,0,0,-1,-1,1
20,0,1,1,0,-1,1,0,0,0,0
30,0,2,0,1,-1,1,0,-1,-1,1
30,0,1,0,0,-1,1,0,0,0,0
27,0,2,1,1,-1,1,0,-1,-1,1
72,0,2,1,1,-1,1,0,0,0,0
37,0,2,0,0,-1,1,0,0,0,1
49,0,1,1,0,-1,1,0,1,0,0
19,0,1,0,0,-1,1,0,0,0,0
15,0,1,0,0,-1,1,0,0,0,1
32,0,2,1,1,-1,1,0,-1,-1,0
27,0,1,0,0,-1,1,0,0,0,0
27,0,2,1,1,-1,1,0,0,0,1
106,0,3,0,1,-1,1,0,-1,-1,1
29,0,2,1,1,-1,1,0,-1,-1,1
71,0,2,1,1,-1,1,0,1,0,1
53,0,3,0,1,-1,0,0,-1,-1,1
33,0,2,0,0,-1,1,0,1,0,0
34,0,3,0,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
